LanguageSkid,ChorusSkid,SentenceSequenceNbr,SentenceSkid
1,274,2,7299
1,274,3,7300
1,274,4,7301
1,282,1,7429
1,282,2,7430
1,283,1,7429
1,283,2,7430
1,284,1,7429
1,284,2,7430
1,287,1,7552
1,287,2,7553
1,287,3,7554
1,287,4,7555
1,288,1,7552
1,288,2,7553
1,288,3,7554
1,288,4,7555
1,289,1,7552
1,289,2,7553
1,289,3,7554
1,289,4,7555
1,290,1,7604
1,290,2,7605
1,290,3,7606
1,290,4,7607
1,291,1,7604
1,291,2,7605
1,291,3,7606
1,291,4,7607
1,292,1,7604
1,292,2,7605
1,292,3,7606
1,292,4,7607
1,293,1,7604
1,293,2,7605
1,293,3,7606
1,293,4,7607
1,294,1,7604
1,294,2,7605
1,294,3,7606
1,294,4,7607
1,295,1,7604
1,295,2,7605
1,295,3,7606
1,295,4,7607
1,296,1,7665
1,296,2,7666
1,296,3,7665
1,296,4,7666
1,297,1,7665
1,297,2,7666
1,297,3,7665
1,297,4,7666
1,298,1,7665
1,298,2,7666
1,298,3,7665
1,298,4,7666
1,300,1,7766
1,300,2,7767
1,300,3,7768
1,300,4,7769
1,301,1,7766
1,301,2,7767
1,301,3,7768
1,301,4,7769
1,302,1,7766
1,302,2,7767
1,302,3,7768
1,302,4,7769
1,303,1,7766
1,303,2,7767
1,303,3,7768
1,303,4,7769
1,304,1,7766
1,304,2,7767
1,304,3,7768
1,304,4,7769
1,305,1,7766
1,305,2,7767
1,305,3,7768
1,305,4,7769
1,306,1,7766
1,306,2,7767
1,306,3,7768
1,306,4,7769
1,307,1,7829
1,307,2,7830
1,307,3,7831
1,307,4,7832
1,307,5,7833
1,308,1,7829
1,308,2,7830
1,308,3,7831
1,308,4,7832
1,308,5,7833
1,309,1,7829
1,309,2,7830
1,309,3,7831
1,309,4,7832
1,309,5,7833
1,310,1,7829
1,310,2,7830
1,310,3,7831
1,310,4,7832
1,310,5,7833
1,311,1,7867
1,311,2,7868
1,311,3,7869
1,311,4,7870
1,312,1,7867
1,312,2,7868
1,312,3,7869
1,312,4,7870
1,313,1,7867
1,313,2,7868
1,313,3,7869
1,313,4,7870
1,314,1,7867
1,314,2,7868
1,314,3,7869
1,314,4,7870
1,319,1,7938
1,319,2,7937
1,320,1,7938
1,320,2,7937
1,321,1,7938
1,321,2,7937
1,322,1,7938
1,322,2,7937
1,323,1,7938
1,323,2,7937
1,324,1,7938
1,324,2,7937
1,325,1,7977
1,325,2,7978
1,325,3,7979
1,325,4,7980
1,326,1,7977
1,326,2,7978
1,326,3,7979
1,326,4,7980
1,327,1,7977
1,327,2,7978
1,327,3,7979
1,327,4,7980
1,328,1,7977
1,328,2,7978
1,328,3,7979
1,328,4,7980
1,333,1,8041
1,333,2,8042
1,333,3,8043
1,333,4,8044
1,334,1,8041
1,334,2,8042
1,334,3,8043
1,334,4,8044
1,335,1,8041
1,335,2,8042
1,335,3,8043
1,335,4,8044
1,336,1,8041
1,336,2,8042
1,336,3,8043
1,336,4,8044
1,337,1,8041
1,337,2,8042
1,337,3,8043
1,337,4,8044
1,342,1,8118
1,342,2,8119
1,343,1,8118
1,343,2,8119
1,344,1,8118
1,344,2,8119
1,345,1,8118
1,345,2,8119
1,349,1,8170
1,349,2,8171
1,349,3,8172
1,349,4,8173
1,350,1,8170
1,350,2,8171
1,350,3,8172
1,350,4,8173
1,351,1,8170
1,351,2,8171
1,351,3,8172
1,351,4,8173
1,352,1,8170
1,352,2,8171
1,352,3,8172
1,352,4,8173
1,353,1,8215
1,353,2,8216
1,354,1,8215
1,354,2,8216
1,355,1,8215
1,355,2,8216
1,356,1,8215
1,356,2,8216
1,357,1,8215
1,357,2,8216
1,358,1,8215
1,358,2,8216
1,359,1,8291
1,359,2,8292
1,359,3,8293
1,359,4,8292
1,360,1,8291
1,360,2,8292
1,360,3,8293
1,360,4,8292
1,361,1,8291
1,361,2,8292
1,361,3,8293
1,361,4,8292
1,366,1,8582
1,366,2,8583
1,366,3,8584
1,366,4,8585
1,367,1,8582
1,367,2,8583
1,367,3,8584
1,367,4,8585
1,368,1,8582
1,368,2,8583
1,368,3,8584
1,368,4,8585
1,369,1,8582
1,369,2,8583
1,369,3,8584
1,369,4,8585
1,370,1,8633
1,370,2,8634
1,370,3,8631
1,370,4,8632
1,371,1,8633
1,371,2,8634
1,371,3,8631
1,371,4,8632
1,372,1,8633
1,372,2,8634
1,372,3,8631
1,372,4,8632
1,373,1,8633
1,373,2,8634
1,373,3,8631
1,373,4,8632
1,374,1,8677
1,374,2,8678
1,375,1,8677
1,375,2,8678
1,376,1,8677
1,376,2,8678
1,377,1,8773
1,377,2,8774
1,378,1,8773
1,378,2,8774
1,379,1,8773
1,379,2,8774
1,380,1,8773
1,380,2,8774
1,381,1,8773
1,381,2,8774
1,382,1,8773
1,382,2,8774
1,383,1,8820
1,383,2,8819
1,384,1,8820
1,384,2,8819
1,385,1,8820
1,385,2,8819
1,386,1,8820
1,386,2,8819
1,387,1,8820
1,387,2,8819
1,399,1,9165
1,399,2,9166
1,399,3,9167
1,399,4,9168
1,400,1,9165
1,400,2,9166
1,400,3,9167
1,400,4,9168
1,401,1,9165
1,401,2,9166
1,401,3,9167
1,401,4,9168
1,402,1,9165
1,402,2,9166
1,402,3,9167
1,402,4,9168
1,403,1,9165
1,403,2,9166
1,403,3,9167
1,403,4,9168
1,404,1,9165
1,404,2,9166
1,404,3,9167
1,404,4,9168
1,405,1,9165
1,405,2,9166
1,405,3,9167
1,405,4,9168
1,406,1,9225
1,406,2,9226
1,406,3,9233
1,406,4,9234
1,407,1,9225
1,407,2,9226
1,407,3,9233
1,407,4,9234
1,408,1,9225
1,408,2,9226
1,408,3,9233
1,408,4,9234
1,409,1,9277
1,409,2,9278
1,409,3,9279
1,409,4,9280
1,410,1,9277
1,410,2,9278
1,410,3,9279
1,410,4,9280
1,411,1,9277
1,411,2,9278
1,411,3,9279
1,411,4,9280
1,412,1,9277
1,412,2,9278
1,412,3,9279
1,412,4,9280
1,428,1,9541
1,428,2,9542
1,428,3,9543
1,428,4,9544
1,429,1,9541
1,429,2,9542
1,429,3,9543
1,429,4,9544
1,430,1,9541
1,430,2,9542
1,430,3,9543
1,430,4,9544
1,431,1,9541
1,431,2,9542
1,431,3,9543
1,431,4,9544
1,434,1,9608
1,434,2,9609
1,434,3,9610
1,434,4,9611
1,435,1,9608
1,435,2,9609
1,435,3,9610
1,435,4,9611
1,436,1,9608
1,436,2,9609
1,436,3,9610
1,436,4,9611
1,437,1,9608
1,437,2,9609
1,437,3,9610
1,437,4,9611
1,438,1,9608
1,438,2,9609
1,438,3,9610
1,438,4,9611
1,439,1,9656
1,439,2,9657
1,439,3,9658
1,439,4,9659
1,440,1,9656
1,440,2,9657
1,440,3,9658
1,440,4,9659
1,441,1,9656
1,441,2,9657
1,441,3,9658
1,441,4,9659
1,442,1,9656
1,442,2,9657
1,442,3,9658
1,442,4,9659
1,443,1,9702
1,443,2,9703
1,443,3,9704
1,443,4,9705
1,444,1,9702
1,444,2,9703
1,444,3,9704
1,444,4,9705
1,445,1,9702
1,445,2,9703
1,445,3,9704
1,445,4,9705
1,452,1,9935
1,452,2,9936
1,452,3,9937
1,452,4,9934
1,453,1,9935
1,453,2,9936
1,453,3,9937
1,453,4,9934
1,454,1,9935
1,454,2,9936
1,454,3,9937
1,454,4,9934
1,455,1,9935
1,455,2,9936
1,455,3,9937
1,455,4,9934
1,456,1,10111
1,456,2,10112
1,457,1,10111
1,457,2,10112
1,458,1,10111
1,458,2,10112
1,459,1,10111
1,459,2,10112
1,460,1,10111
1,460,2,10112
1,466,1,10482
1,466,2,10483
1,466,3,10482
1,466,4,10484
1,467,1,10482
1,467,2,10483
1,467,3,10482
1,467,4,10484
1,468,1,10482
1,468,2,10483
1,468,3,10482
1,468,4,10484
1,469,1,10482
1,469,2,10483
1,469,3,10482
1,469,4,10484
1,475,1,10651
1,475,2,10652
1,475,3,10653
1,475,4,10650
1,476,1,10651
1,476,2,10652
1,476,3,10653
1,476,4,10650
1,477,1,10651
1,477,2,10652
1,477,3,10653
1,477,4,10650
1,478,1,10651
1,478,2,10652
1,478,3,10653
1,478,4,10650
1,479,1,10651
1,479,2,10652
1,479,3,10653
1,479,4,10650
1,480,1,10699
1,480,2,10700
1,480,3,10701
1,481,1,10699
1,481,2,10700
1,481,3,10701
1,482,1,10699
1,482,2,10700
1,482,3,10701
1,483,1,10699
1,483,2,10700
1,483,3,10701
1,484,1,10699
1,484,2,10700
1,484,3,10701
1,485,1,10914
1,485,2,10915
1,486,1,10914
1,486,2,10915
1,487,1,10914
1,487,2,10915
1,488,1,11003
1,488,2,11004
1,488,3,11005
1,488,4,11006
1,489,1,11003
1,489,2,11004
1,489,3,11005
1,489,4,11006
1,490,1,11003
1,490,2,11004
1,490,3,11005
1,490,4,11006
1,491,1,11052
1,491,2,11053
1,491,3,11054
1,491,4,11055
1,492,1,11052
1,492,2,11053
1,492,3,11054
1,492,4,11055
1,493,1,11052
1,493,2,11053
1,493,3,11054
1,493,4,11055
1,494,1,11052
1,494,2,11053
1,494,3,11054
1,494,4,11055
1,495,1,11052
1,495,2,11053
1,495,3,11054
1,495,4,11055
1,496,1,11186
1,496,2,11187
1,496,3,11188
1,496,4,11189
1,497,1,11186
1,497,2,11187
1,497,3,11188
1,497,4,11189
1,498,1,11186
1,498,2,11187
1,498,3,11188
1,498,4,11189
1,499,1,11298
1,499,2,11299
1,499,3,11300
1,499,4,11301
1,500,1,11298
1,500,2,11299
1,500,3,11300
1,500,4,11301
1,501,1,11298
1,501,2,11299
1,501,3,11300
1,501,4,11301
1,502,1,11298
1,502,2,11299
1,502,3,11300
1,502,4,11301
1,503,1,11338
1,503,2,11339
1,503,3,11340
1,503,4,11341
1,504,1,11338
1,504,2,11339
1,504,3,11340
